Identifier,languageCode,countryCode,site,CompetitorModelNumber,curbAdapter,phase,alliedMatchId,GEAModelNumber,associatedProductId
6ec5ecf93d1b5aa2ae79fd61e9133620,en,US,91b8f8a911bff655d08192b7e34f37d1,2PGE13E60,,,,ZGD060S5,4
59a8332490d2e4cef1479a2bdf7bc3cb,en,US,91b8f8a911bff655d08192b7e34f37d1,2PGE13E48,,,,ZGD048S5,4
0b82163c659d419f830835d61c39ea4d,en,US,91b8f8a911bff655d08192b7e34f37d1,ZS-10N,,,,ZGD120S5,4
cd22919e12eb5f9e6002840c82523611,en,US,91b8f8a911bff655d08192b7e34f37d1,ZS-07N,,,31,ZGD092S5,4
2386b05c5571428ba2bbd2c26355b3db,en,US,91b8f8a911bff655d08192b7e34f37d1,582JT06,no Transition Curb needed,,,ZGD060S5,4
054c14f60ac838dd229d404379be4560,en,US,91b8f8a911bff655d08192b7e34f37d1,582JP06,no Transition Curb needed,,,ZGD060S5,4
b5ad246f430dbed27a8288d7c86e22e3,en,US,91b8f8a911bff655d08192b7e34f37d1,582JJ06,no Transition Curb needed,,,ZGD060S5,4
86533b6002bd285da8a43650a63462dd,en,US,91b8f8a911bff655d08192b7e34f37d1,582JE06,no Transition Curb needed,,,ZGD060S5,4
328e162b6330657ed1e97d4349c7cce9,en,US,91b8f8a911bff655d08192b7e34f37d1,582JT05,no Transition Curb needed,,,ZGD048S5,4
8955249f23045acb9af906c6c341624b,en,US,91b8f8a911bff655d08192b7e34f37d1,582JJ05,no Transition Curb needed,,,ZGD048S5,4
32ae4e839778b43be1c623d37fd6263c,en,US,91b8f8a911bff655d08192b7e34f37d1,582JE05,no Transition Curb needed,,,ZGD048S5,4
bf4ab32c841f1544c27dc96f834c801f,en,US,91b8f8a911bff655d08192b7e34f37d1,582JT04,no Transition Curb needed,,,ZGD036S5,4
bce138d72c82bcc8043d49f0deb1f5eb,en,US,91b8f8a911bff655d08192b7e34f37d1,582JP05,no Transition Curb needed,,,ZGD048S5,4
3d40fdb0e299ea76e67a0d6c0b6c98f1,en,US,91b8f8a911bff655d08192b7e34f37d1,582JP04,no Transition Curb needed,,,ZGD036S5,4
