site,title,curbAdapter,phase,alliedMatchId,alliedModelNumber,associatedProductId
91b8f8a911bff655d08192b7e34f37d1,ZH102C5,,,59,ZCD120S5,4
91b8f8a911bff655d08192b7e34f37d1,ZXE12A,no Transition Curb needed,,59,ZCD120S5,4
91b8f8a911bff655d08192b7e34f37d1,ZXE12D,no Transition Curb needed,,59,ZCD120S5,4
91b8f8a911bff655d08192b7e34f37d1,ZXE12R,no Transition Curb needed,,59,ZCD120S5,4
91b8f8a911bff655d08192b7e34f37d1,ZXE12F,no Transition Curb needed,,59,ZCD120S5,4
91b8f8a911bff655d08192b7e34f37d1,ZXE12T,no Transition Curb needed,,59,ZCD120S5,4
91b8f8a911bff655d08192b7e34f37d1,ZXE12S,no Transition Curb needed,,59,ZCD120S5,4
91b8f8a911bff655d08192b7e34f37d1,ZYE12D,no Transition Curb needed,,59,ZCD120S5,4
91b8f8a911bff655d08192b7e34f37d1,ZXE12M,no Transition Curb needed,,59,ZCD120S5,4
91b8f8a911bff655d08192b7e34f37d1,ZYE12E,no Transition Curb needed,,59,ZCD120S5,4
91b8f8a911bff655d08192b7e34f37d1,ZXE12L,no Transition Curb needed,,59,ZCD120S5,4
91b8f8a911bff655d08192b7e34f37d1,ZXE12N,no Transition Curb needed,,59,ZCD120S5,4
91b8f8a911bff655d08192b7e34f37d1,ZYE12A,no Transition Curb needed,,59,ZCD120S5,4
91b8f8a911bff655d08192b7e34f37d1,ZYE12L,no Transition Curb needed,,59,ZCD120S5,4
91b8f8a911bff655d08192b7e34f37d1,ZYE12T,no Transition Curb needed,,59,ZCD120S5,4
91b8f8a911bff655d08192b7e34f37d1,ZYE12M,no Transition Curb needed,,59,ZCD120S5,4
91b8f8a911bff655d08192b7e34f37d1,ZYE12F,no Transition Curb needed,,59,ZCD120S5,4
91b8f8a911bff655d08192b7e34f37d1,ZYE12R,no Transition Curb needed,,59,ZCD120S5,4
91b8f8a911bff655d08192b7e34f37d1,ZYE12N,no Transition Curb needed,,59,ZCD120S5,4
91b8f8a911bff655d08192b7e34f37d1,ZYE09T,no Transition Curb needed,,58,ZCD102S5,4
91b8f8a911bff655d08192b7e34f37d1,ZJ102C4,,,58,ZCD102S5,4
91b8f8a911bff655d08192b7e34f37d1,ZH102C4,,,58,ZCD102S5,4
91b8f8a911bff655d08192b7e34f37d1,ZF102C4,,,58,ZCD102S5,4
91b8f8a911bff655d08192b7e34f37d1,ZF102C2,,,58,ZCD102S5,4
91b8f8a911bff655d08192b7e34f37d1,ZF102C5,,,58,ZCD102S5,4
91b8f8a911bff655d08192b7e34f37d1,ZJ102C5,,,58,ZCD102S5,4
91b8f8a911bff655d08192b7e34f37d1,ZJ102C2,,,58,ZCD102S5,4
91b8f8a911bff655d08192b7e34f37d1,ZH102C5,,,58,ZCD102S5,4
91b8f8a911bff655d08192b7e34f37d1,ZH102C2,,,58,ZCD102S5,4
91b8f8a911bff655d08192b7e34f37d1,ZXE09S,no Transition Curb needed,,58,ZCD102S5,4
91b8f8a911bff655d08192b7e34f37d1,ZXE09T,no Transition Curb needed,,58,ZCD102S5,4
91b8f8a911bff655d08192b7e34f37d1,ZXE09E,no Transition Curb needed,,58,ZCD102S5,4
91b8f8a911bff655d08192b7e34f37d1,ZXE09N,no Transition Curb needed,,58,ZCD102S5,4
91b8f8a911bff655d08192b7e34f37d1,ZXE09F,no Transition Curb needed,,58,ZCD102S5,4
91b8f8a911bff655d08192b7e34f37d1,ZXE09M,no Transition Curb needed,,58,ZCD102S5,4
91b8f8a911bff655d08192b7e34f37d1,ZXE09A,no Transition Curb needed,,58,ZCD102S5,4
